trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
96,0,96,0,10,236.9318813001737,236.9318813001737,0.08787719998508692,237.97955300007015,[-0.2847222222222222],[0.20601851851851852],[1],[0],[0],[1.6291908998973668],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
97,0,97,0,10,238.6958848000504,238.6958848000504,0.0775641999207437,239.74478660011664,[-0.22800925925925927],[-0.43171296296296297],[1],[0],[0],[2.057742799865082],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
98,0,98,0,5,240.69252110016532,240.69252110016532,0.057818599976599216,241.7093337001279,[-0.4849537037037037],[-0.3761574074074074],[1],[0],[0],[1.878788499860093],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
99,0,99,0,10,242.67421430000104,242.67421430000104,0.08305250015109777,243.69095230009407,[-0.2800925925925926],[0.4930555555555556],[1],[0],[0],[2.3367957998998463],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
100,0,100,0,5,245.07187120011076,245.07187120011076,0.06107619986869395,246.0887201000005,[-0.2569444444444444],[0.35532407407407407],[1],[0],[0],[1.6707425001077354],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
101,0,101,0,5,246.82024280005135,246.82024280005135,0.06394209992140532,247.83751720003784,[0.11458333333333333],[-0.04398148148148148],[1],[0],[0],[1.4734318000264466],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
102,0,102,0,5,248.36886580009013,248.36886580009013,0.06036940007470548,249.4023166000843,[-0.3229166666666667],[-0.23726851851851852],[1],[0],[0],[1.7581368000246584],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
103,0,103,0,10,250.21705700014718,250.21705700014718,0.08042960008606315,251.25037070014514,[-0.42824074074074076],[0.21180555555555555],[1],[0],[0],[2.0537998999934644],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
104,0,104,0,5,252.36611370020546,252.36611370020546,0.06229880009777844,253.38275190000422,[-0.032407407407407406],[0.38425925925925924],[1],[0],[0],[1.7593008000403643],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
105,0,105,0,5,254.17997350008227,254.17997350008227,0.06370899989269674,255.19727020012215,[0.16666666666666666],[0.29050925925925924],[1],[0],[0],[1.9383610000368208],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
